RECONCILED WORDS:
================================================================================

   0: In (0.00s - 0.35s)
 333: be (116.55s - 116.90s)
 334: applied. (116.90s - 117.25s)
 335: Objects (117.25s - 117.60s)
 336: below (117.60s - 117.95s)
 337: this (117.95s - 118.30s)
 338: minimum (118.30s - 118.65s)
 339: use (118.65s - 119.00s)
 340: another (119.00s - 119.35s)
 341: reflection (119.35s - 119.70s)
 342: method (119.70s - 120.05s)
 343: such (120.05s - 120.40s)
 344: as (120.40s - 120.75s)
 345: probes. (120.75s - 121.10s)
 346: The (121.10s - 121.45s)
 347: smoothness (121.45s - 121.80s)
 348: fade (121.80s - 122.15s)
 349: start (122.15s - 122.50s)
 350: will (122.50s - 122.85s)
 351: set (122.85s - 123.20s)
 352: the (123.20s - 123.55s)
 353: smoothness (123.55s - 123.90s)
 354: value (123.90s - 124.25s)
 355: at (124.25s - 124.60s)
 356: which (124.60s - 124.95s)
 357: SSR (124.95s - 125.30s)
 358: reflections (125.30s - 125.65s)
 359: begin (125.65s - 126.00s)
 360: to (126.00s - 126.35s)
 361: fade (126.35s - 126.70s)
 362: out. (126.70s - 127.05s)
 363: Lower (127.05s - 127.40s)
 364: values (127.40s - 127.75s)
 365: results (127.75s - 128.10s)
 366: in (128.10s - 128.45s)
 367: HDRP (128.45s - 128.80s)
 368: fading (128.80s - 129.15s)
 369: out (129.15s - 129.50s)
 370: SSR (129.50s - 129.85s)
 371: reflections (129.85s - 130.20s)
 372: for (130.20s - 130.55s)
 373: less (130.55s - 130.90s)
 374: smooth (130.90s - 131.25s)
 375: game (131.25s - 131.60s)
 376: objects. (131.60s - 131.95s)
 377: We (131.95s - 132.30s)
 378: have (132.30s - 132.65s)
 379: some (132.65s - 133.00s)
 380: other (133.00s - 133.35s)
 381: settings (133.35s - 133.70s)
 382: here (133.70s - 134.05s)
 383: such (134.05s - 134.40s)
 384: as (134.40s - 134.75s)
 385: the (134.75s - 135.10s)
 386: ability (135.10s - 135.45s)
 387: to (135.45s - 135.80s)
 388: reflect (135.80s - 136.15s)
 389: the (136.15s - 136.50s)
 390: sky, (136.50s - 136.85s)
 391: the (136.85s - 137.20s)
 392: screen (137.20s - 137.55s)
 393: edge (137.55s - 137.90s)
 394: fade (137.90s - 138.25s)
 395: distance, (138.25s - 138.60s)
 396: as (138.60s - 138.95s)
 397: well (138.95s - 139.30s)
 398: as (139.30s - 139.65s)
 399: the (139.65s - 140.00s)
 400: object (140.00s - 140.35s)
 401: thickness. (140.35s - 140.70s)
 402: This (140.70s - 141.05s)
 403: controls (141.05s - 141.40s)
 404: how (141.40s - 141.75s)
 405: thick (141.75s - 142.10s)
 406: objects (142.10s - 142.45s)
 407: are (142.45s - 142.80s)
 408: inside (142.80s - 143.15s)
 409: of (143.15s - 143.50s)
 410: your (143.50s - 143.85s)
 411: scene. (143.85s - 144.20s)
 412: So (144.20s - 144.55s)
 413: if (144.55s - 144.90s)
 414: I (144.90s - 145.25s)
 415: set (145.25s - 145.60s)
 416: this (145.60s - 145.95s)
 417: thickness (145.95s - 146.30s)
 418: to (146.30s - 146.65s)
 419: one, (146.65s - 147.00s)
 420: we'll (147.00s - 147.35s)
 421: see (147.35s - 147.70s)
 422: more (147.70s - 148.05s)
 423: reflections (148.05s - 148.40s)
 424: on (148.40s - 148.75s)
 425: our (148.75s - 149.10s)
 426: ducks (149.10s - 149.45s)
 427: here (149.45s - 149.80s)
 428: because (149.80s - 150.15s)
 429: the (150.15s - 150.50s)
 430: rays (150.50s - 150.85s)
 431: are (150.85s - 151.20s)
 432: not (151.20s - 151.55s)
 433: passing (151.55s - 151.90s)
 434: through (151.90s - 152.25s)
 435: them (152.25s - 152.60s)
 436: as (152.60s - 152.95s)
 437: much. (152.95s - 153.30s)
 438: Additionally, (153.30s - 153.65s)
 439: we (153.65s - 154.00s)
 440: also (154.00s - 154.35s)
 441: have (154.35s - 154.70s)
 442: some (154.70s - 155.05s)
 443: quality (155.05s - 155.40s)
 444: settings (155.40s - 155.75s)
 445: here. (155.75s - 156.10s)
 446: So (156.10s - 156.45s)
 447: I (156.45s - 156.80s)
 448: can (156.80s - 157.15s)
 449: set (157.15s - 157.50s)
 450: this (157.50s - 157.85s)
 451: to (157.85s - 158.20s)
 452: high (158.20s - 158.55s)
 453: quality (158.55s - 158.90s)
 454: to (158.90s - 159.25s)
 455: get (159.25s - 159.60s)
 456: a (159.60s - 159.95s)
 457: bit (159.95s - 160.30s)
 458: of (160.30s - 160.65s)
 459: a (160.65s - 161.00s)
 460: better (161.00s - 161.35s)
 461: reflection. (161.35s - 161.70s)
 462: And (161.70s - 162.05s)
 463: we (162.05s - 162.40s)
 464: can (162.40s - 162.75s)
 465: also (162.75s - 163.10s)
 466: change (163.10s - 163.45s)
 467: the (163.45s - 163.80s)
 468: algorithm (163.80s - 164.15s)
 469: as (164.15s - 164.50s)
 470: well, (164.50s - 164.85s)
 471: from (164.85s - 165.20s)
 472: approximation (165.20s - 165.55s)
 473: to (165.55s - 165.90s)
 474: PBR (165.90s - 166.25s)
 475: accumulation. (166.25s - 166.60s)
 476: Approximation (166.60s - 166.95s)
 477: is (166.95s - 167.30s)
 478: a (167.30s - 167.65s)
 479: quicker (167.65s - 168.00s)
 480: algorithm, (168.00s - 168.35s)
 481: which (168.35s - 168.70s)
 482: results (168.70s - 169.05s)
 483: in (169.05s - 169.40s)
 484: less (169.40s - 169.75s)
 485: resources (169.75s - 170.10s)
 486: used, (170.10s - 170.45s)
 487: but (170.45s - 170.80s)
 488: it's (170.80s - 171.15s)
 489: not (171.15s - 171.50s)
 490: as (171.50s - 171.85s)
 491: accurate (171.85s - 172.20s)
 492: for (172.20s - 172.55s)
 493: rough (172.55s - 172.90s)
 494: surfaces. (172.90s - 173.25s)
 495: Something (173.25s - 173.60s)
 496: like (173.60s - 173.95s)
 497: PBR (173.95s - 174.30s)
 498: accumulation (174.30s - 174.65s)
 499: accumulates (174.65s - 175.00s)
 500: multiple (175.00s - 175.35s)
 501: frames (175.35s - 175.70s)
 502: to (175.70s - 176.05s)
 503: generate (176.05s - 176.40s)
 504: a (176.40s - 176.75s)
 505: more (176.75s - 177.10s)
 506: accurate (177.10s - 177.45s)
 507: result. (177.45s - 177.80s)
 508: And (177.80s - 178.15s)
 509: we (178.15s - 178.50s)
 510: can (178.50s - 178.85s)
 511: control (178.85s - 179.20s)
 512: the (179.20s - 179.55s)
 513: amount (179.55s - 179.90s)
 514: of (179.90s - 180.25s)
 515: accumulation (180.25s - 180.60s)
 516: using (180.60s - 180.95s)
 517: this (180.95s - 181.30s)
 518: accumulation (181.30s - 181.65s)
 519: factor. (181.65s - 182.00s)
 520: This (182.00s - 182.35s)
 521: gives (182.35s - 182.70s)
 522: a (182.70s - 183.05s)
 523: more (183.05s - 183.40s)
 524: accurate (183.40s - 183.75s)
 525: result, (183.75s - 184.10s)
 526: but (184.10s - 184.45s)
 527: it (184.45s - 184.80s)
 528: is (184.80s - 185.15s)
 529: resource (185.15s - 185.50s)
 530: intensive, (185.50s - 185.85s)
 531: and (185.85s - 186.20s)
 532: it (186.20s - 186.55s)
 533: can (186.55s - 186.90s)
 534: lead (186.90s - 187.25s)
 535: to (187.25s - 187.60s)
 536: some (187.60s - 187.95s)
 537: ghosting. (187.95s - 188.30s)
 538: Additionally, (188.30s - 188.65s)
 539: this (188.65s - 189.00s)
 540: algorithm (189.00s - 189.35s)
 541: cannot (189.35s - 189.70s)
 542: be (189.70s - 190.05s)
 543: used (190.05s - 190.40s)
 544: on (190.40s - 190.75s)
 545: transparent (190.75s - 191.10s)
 546: materials, (191.10s - 191.45s)
 547: as (191.45s - 191.80s)
 548: those (191.80s - 192.15s)
 549: will (192.15s - 192.50s)
 550: always (192.50s - 192.85s)
 551: use (192.85s - 193.20s)
 552: approximation. (193.20s - 193.55s)
 553: In (193.55s - 193.90s)
 554: the (193.90s - 194.25s)
 555: next (194.25s - 194.60s)
 556: module, (194.60s - 194.95s)
 557: we'll (194.95s - 195.30s)
 558: begin (195.30s - 195.65s)
 559: talking (195.65s - 196.00s)
 560: about (196.00s - 196.35s)
 561: the (196.35s - 196.70s)
 562: basics (196.70s - 197.05s)
 563: of (197.05s - 197.40s)
 564: lighting (197.40s - 197.75s)
 565: inside (197.75s - 198.10s)
 566: of (198.10s - 198.45s)
 567: HDRP (198.45s - 198.80s)
 568: by (198.80s - 199.15s)
 569: learning (199.15s - 199.50s)
 570: about (199.50s - 199.85s)
 571: the (199.85s - 200.20s)
 572: different (200.20s - 200.55s)
 573: light (200.55s - 200.90s)
 574: types. (200.90s - 201.25s)
